                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.90563,                 1.0231,                0.94262,                0.95583,                 0.1782,                0.20056,                0.16248,                 0.7724,                0.87358,                0.92745,              0.0023977,              0.0023977,              0.0023977
                     71,                0.90911,                 1.0908,                0.93377,                0.95571,                0.17869,                0.20178,                0.16274,                0.77173,                0.87196,                0.92738,              0.0022677,              0.0022677,              0.0022677
                     72,                0.88162,                 1.0139,                0.93715,                0.95556,                0.17815,                0.20195,                0.16325,                0.76941,                0.87022,                0.92638,              0.0021405,              0.0021405,              0.0021405
                     73,                0.90643,                 1.0803,                0.94295,                0.95632,                0.17792,                0.20043,                0.16296,                0.76861,                0.87041,                 0.9263,              0.0020161,              0.0020161,              0.0020161
                     74,                0.89744,                 1.0772,                0.94646,                0.95665,                0.17801,                0.19953,                0.16259,                0.76737,                0.86901,                0.92526,              0.0018948,              0.0018948,              0.0018948
                     75,                0.90185,                 1.0998,                 0.9433,                0.95623,                0.17703,                0.19924,                0.16258,                0.76598,                0.86788,                0.92394,              0.0017765,              0.0017765,              0.0017765
                     76,                 0.8651,                 1.0335,                0.93357,                0.96003,                0.17331,                 0.1993,                 0.1628,                0.76357,                0.86566,                0.92326,              0.0016615,              0.0016615,              0.0016615
                     77,                0.89002,                 1.0649,                0.93107,                0.95577,                0.17833,                    0.2,                0.16251,                  0.761,                0.86087,                0.92206,              0.0015498,              0.0015498,              0.0015498
                     78,                 0.8198,                0.96614,                0.91436,                0.96031,                0.17375,                0.20005,                0.16304,                0.75944,                0.85934,                0.92167,              0.0014416,              0.0014416,              0.0014416
                     79,                0.84142,                 1.0048,                0.92003,                0.95959,                0.17352,                 0.1993,                0.16237,                0.75566,                0.85807,                0.91991,               0.001337,               0.001337,               0.001337
                     80,                0.86886,                  1.024,                0.93493,                 0.9594,                0.17372,                0.19971,                0.16297,                 0.7545,                0.85719,                0.91963,               0.001236,               0.001236,               0.001236
                     81,                0.82172,                0.96162,                0.91902,                0.95955,                0.17371,                0.19929,                 0.1625,                0.75342,                0.85866,                0.91941,              0.0011387,              0.0011387,              0.0011387
                     82,                0.84056,                 1.0114,                 0.9133,                0.95958,                0.17378,                0.19979,                0.16229,                0.75217,                0.85817,                0.91927,              0.0010454,              0.0010454,              0.0010454
                     83,                0.85559,                 1.0261,                0.93118,                0.95962,                0.17382,                0.19955,                0.16233,                0.75223,                0.85764,                  0.919,             0.00095595,             0.00095595,             0.00095595
                     84,                0.83639,                 1.0461,                0.92436,                0.95955,                0.17393,                0.19911,                0.16226,                0.75131,                0.85688,                0.91883,             0.00087058,             0.00087058,             0.00087058
                     85,                0.82649,                 0.9665,                0.92325,                0.95959,                0.17396,                 0.1994,                0.16244,                0.74952,                0.85622,                0.91829,             0.00078933,             0.00078933,             0.00078933
                     86,                0.85014,                 1.0253,                0.93111,                0.95968,                0.17396,                0.19931,                0.16267,                0.75056,                0.85785,                0.91851,             0.00071228,             0.00071228,             0.00071228
                     87,                0.83061,                0.97349,                0.92522,                0.95968,                0.17394,                0.19933,                0.16274,                0.74963,                0.85695,                0.91834,             0.00063952,             0.00063952,             0.00063952
                     88,                 0.8326,                 1.0188,                0.92916,                0.95972,                 0.1739,                0.19934,                0.16283,                0.74856,                0.85586,                0.91799,             0.00057111,             0.00057111,             0.00057111
                     89,                0.81526,                 1.0688,                0.92156,                0.95972,                0.17391,                0.19954,                0.16289,                 0.7479,                0.85519,                0.91772,             0.00050711,             0.00050711,             0.00050711
                     90,                0.82046,                 1.0141,                0.92817,                0.96028,                0.17317,                0.19927,                0.16286,                0.74659,                  0.853,                0.91716,             0.00044761,             0.00044761,             0.00044761
