                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.81467,                 1.0278,                 1.4233,                 1.1755,                0.41839,                0.62824,                0.60293,                0.52562,                0.41839,                0.62824,                0.60293,                 0.5395,                0.60528,                0.59421,                 1.2709,                 1.0979,             0.00014819,             0.00014819,             0.00014819
                     69,                  0.841,                0.90326,                 1.4343,                 1.1919,                  0.615,                0.51621,                0.58152,                0.50766,                  0.615,                0.51621,                0.58062,                0.51448,                0.60399,                0.64324,                  1.311,                 1.0829,             0.00014068,             0.00014068,             0.00014068
                     70,                0.80975,                0.97734,                 1.4304,                 1.1592,                0.48292,                0.56595,                0.55988,                0.47867,                0.48292,                0.56595,                0.55988,                0.49994,                0.68624,                0.60952,                 1.2677,                 1.1179,             0.00013331,             0.00013331,             0.00013331
                     71,                0.80302,                0.90751,                 1.4075,                 1.1822,                0.46622,                0.55151,                0.56141,                0.49286,                0.46622,                0.55151,                 0.5632,                 0.4931,                0.62206,                0.62929,                 1.1828,                 1.1007,             0.00012608,             0.00012608,             0.00012608
                     72,                0.83383,                 1.0167,                 1.4208,                 1.2083,                0.52729,                0.59684,                0.58634,                0.51155,                0.52729,                0.59684,                0.58634,                0.52437,                 0.6123,                0.65074,                 1.2067,                 1.0922,             0.00011901,             0.00011901,             0.00011901
                     73,                0.80386,                0.91521,                 1.3939,                 1.1634,                0.44221,                0.67378,                0.54964,                0.47488,                0.44221,                0.67378,                0.54849,                0.49302,                0.63377,                0.62271,                 1.2791,                 1.1035,              0.0001121,              0.0001121,              0.0001121
                     74,                0.77889,                0.96662,                 1.3599,                 1.1585,                0.47224,                0.64624,                0.58571,                0.52152,                0.47224,                0.64624,                0.58627,                0.52114,                0.59959,                 0.6629,                 1.1627,                 1.0797,             0.00010535,             0.00010535,             0.00010535
                     75,                0.81677,                 1.0529,                 1.4124,                 1.1709,                  0.451,                0.52552,                0.53323,                 0.4522,                  0.451,                0.52552,                0.53323,                0.46186,                 0.6026,                0.68215,                 1.2157,                 1.0932,             9.8774e-05,             9.8774e-05,             9.8774e-05
                     76,                0.78225,                0.98429,                 1.3811,                 1.1522,                0.49004,                0.63806,                0.59757,                0.52986,                0.49004,                0.63806,                0.59757,                0.52969,                0.61579,                 0.6337,                  1.217,                 1.0814,             9.2379e-05,             9.2379e-05,             9.2379e-05
                     77,                 0.8195,                 1.0906,                 1.3628,                 1.1776,                0.57784,                0.59226,                0.58805,                0.51772,                0.57784,                0.59226,                0.58805,                0.51743,                0.59374,                0.62122,                 1.1865,                 1.0768,              8.617e-05,              8.617e-05,              8.617e-05
